Author,Title,LexicalDiversity,MeanWordLen,MeanSentenceLen,StdevSentenceLen,MeanParagraphLen,DocumentLen,Commas,Semicolons,Quotes,Exclamations,Colons,Dashes,Mdashes,Ands,Buts,Howevers,Ifs,Thats,Mores,Musts,Mights,This,Verys
"Dickens","stylometry-data/Dickens/tale-two-cities-4.txt",20.7569,6.49696,19.0923,15.9766,41.3512,47719,81.0286,8.34546,0,4.56089,0.582242,0,4.65793,29.2091,3.29937,0.291121,1.55264,10.1892,1.16448,0.291121,0.776322,1.55264,1.35856
"Dickens","stylometry-data/Dickens/tale-two-cities-9.txt",21.8513,6.39357,19.765,19.5756,49.7989,49876,82.2082,7.1204,0,7.95265,2.12687,0,4.62364,36.3418,2.68171,0.184945,2.12687,8.50749,1.0172,0.739782,1.20215,3.32902,0.277418
"Dickens","stylometry-data/Dickens/tale-two-cities-1.txt",19.5133,6.36451,18.0492,15.9016,43.604,48021,80.2059,6.64483,0,4.77305,1.77819,0,4.49228,32.0075,3.4628,0,1.96537,10.014,1.40384,0.280767,0.561535,2.24614,2.05896
"Dickens","stylometry-data/Dickens/tale-two-cities-0.txt",21.0491,6.42838,19.4009,21.6989,44.6667,47977,78.6389,5.86011,0,6.04915,1.51229,0,5.57656,28.7335,1.98488,0.094518,3.49716,9.92439,1.79584,0.47259,0.94518,2.83554,1.41777
"Dickens","stylometry-data/Dickens/tale-two-cities-12.txt",18.2609,6.38254,13.7973,13.6758,33.1885,44043,76.6184,6.08696,0,6.66667,1.44928,0,5.12077,21.9324,1.73913,0.289855,3.18841,10.9179,1.44928,0.676329,0.966184,2.80193,1.35266
"Dickens","stylometry-data/Dickens/tale-two-cities-2.txt",20.4227,6.51104,17.8147,18.6295,44.8564,48751,74.9648,5.44857,0,3.00611,1.87882,0,2.81822,28.7459,2.5364,0.187882,2.5364,11.5547,2.0667,0.375763,0.845467,3.75763,1.69093
"Dickens","stylometry-data/Dickens/tale-two-cities-3.txt",20.4539,6.4379,17.1328,16.122,33.062,44084,82.1368,6.0247,0,5.02058,1.80741,0,3.61482,28.6173,2.81153,0.401647,1.60659,9.84035,1.10453,0.502058,0.502058,2.81153,1.80741
"Dickens","stylometry-data/Dickens/tale-two-cities-5.txt",18.9113,6.35969,16.7047,14.9961,34.175,44234,77.7952,7.62314,0,5.17983,1.56372,0,6.05942,23.8468,2.44332,0,2.73651,10.8483,1.75919,0.39093,0.977326,2.83425,0.977326
"Dickens","stylometry-data/Dickens/tale-two-cities-11.txt",20.4165,6.45104,19.7746,18.1707,50.7697,50237,78.3896,8.14438,0,3.88709,1.75845,0,3.42434,32.5775,3.60944,0.185099,1.38825,10.5507,1.1106,0.647848,0.925497,2.31374,0.832948
"Dickens","stylometry-data/Dickens/tale-two-cities-8.txt",18.9573,6.42206,18.4958,15.1381,43.1569,47879,82.5202,6.22619,0,5.29691,0.650497,0,4.83226,28.5289,2.88077,0.185856,2.13735,12.1736,1.48685,0.557569,1.02221,1.85856,1.67271
"Dickens","stylometry-data/Dickens/tale-two-cities-13.txt",16.1471,6.47036,16.103,13.7431,40.0586,69674,78.3425,5.41596,0,5.47893,1.19655,0,3.9675,29.284,3.33774,0,1.76334,13.288,1.19655,0.818691,0.944644,4.15643,0.755715
"Dickens","stylometry-data/Dickens/tale-two-cities-7.txt",19.2119,6.28827,15.6641,14.8038,34.9612,44732,80.0823,9.11586,0,7.44952,1.27426,0,6.07724,26.6614,3.82278,0.19604,2.9406,11.5664,2.15644,0.09802,0.68614,2.4505,1.27426
"Dickens","stylometry-data/Dickens/tale-two-cities-10.txt",20.2524,6.5642,19.6555,17.1064,46,48773,77.0618,4.65028,0,5.59932,1.61336,0,3.32163,35.2093,2.75221,0.189807,1.23375,11.5782,1.89807,1.61336,0.569422,3.89105,1.23375
"Dickens","stylometry-data/Dickens/tale-two-cities-6.txt",20.0163,6.35254,17.7053,15.0206,45.9796,49120,77.7404,6.72055,0,7.35628,1.63473,0,4.81337,27.4271,2.36128,0.272455,1.27146,11.5339,1.63473,0.363273,0.908183,3.26946,1.08982
