Author,Title,LexicalDiversity,MeanWordLen,MeanSentenceLen,StdevSentenceLen,MeanParagraphLen,DocumentLen,Commas,Semicolons,Quotes,Exclamations,Colons,Dashes,Mdashes,Ands,Buts,Howevers,Ifs,Thats,Mores,Musts,Mights,This,Verys
"Tolstoy","stylometry-data/Tolstoy/war-peace-b2-0.txt",20.7012,6.26927,15.2896,13.7838,34.4185,45178,61.0959,1.36469,0,8.81797,1.04976,0,2.09952,26.8738,3.25425,0,2.51942,8.713,0.944783,0.209952,0.419903,2.09952,0.839807
"Tolstoy","stylometry-data/Tolstoy/war-peace-b1-1.txt",18.7277,6.22285,14.7091,13.3375,39.8208,47087,63.7108,2.98795,0,8.77108,1.25301,0,2.40964,27.759,4.43373,0.0963855,1.54217,8,1.54217,0.771084,0.289157,2.40964,1.54217
"Tolstoy","stylometry-data/Tolstoy/war-peace-b1-2.txt",17.8488,6.2996,13.8418,11.743,33.0924,43701,65.652,2.63825,0,7.30594,1.31913,0,2.43531,24.9619,4.16032,0.101471,1.82648,7.81329,1.11618,0.710299,0.608828,1.21766,2.33384
"Tolstoy","stylometry-data/Tolstoy/war-peace-b1-5.txt",21.3486,6.08207,13.5148,12.3118,36.58,30236,59.04,3.6808,0,8.98115,3.2391,0,2.50294,27.9741,4.26973,0,3.6808,8.09776,1.76678,1.03062,0.147232,2.94464,1.61955
"Tolstoy","stylometry-data/Tolstoy/war-peace-b2-4.txt",20.1084,6.33879,15.8548,13.9359,53.4966,44350,63.4499,1.38166,0,6.90828,1.48794,0,2.55075,33.3723,4.25125,0.106281,1.27537,8.39622,2.33819,0.106281,0.531406,1.59422,0.531406
"Tolstoy","stylometry-data/Tolstoy/war-peace-b2-3.txt",19.952,6.35322,16.9787,13.9679,49.7784,50493,60.2976,1.72828,0,6.62506,0.864138,0,1.44023,27.5564,4.22468,0.288046,2.20835,10.0816,1.2482,0.480077,0.192031,2.40038,0.768123
"Tolstoy","stylometry-data/Tolstoy/war-peace-b1-3.txt",19.6866,6.19597,15.7893,13.397,38.1528,46007,62.3822,3.07448,0,7.33909,1.19012,0,2.08271,28.067,4.66131,0,2.18189,9.12427,2.28107,1.58683,0.793415,2.77695,0.595061
"Tolstoy","stylometry-data/Tolstoy/war-peace-b2-1.txt",18.5994,6.01112,13.259,11.5773,30.92,42737,64.1357,1.24134,0,10.5514,0.620668,0,1.13789,25.8612,3.72401,0,1.96545,7.03424,0.413779,1.24134,0,1.34478,0.206889
"Tolstoy","stylometry-data/Tolstoy/war-peace-b1-4.txt",18.903,6.40767,19.5393,15.5199,59.8544,52486,58.0236,2.90118,0,4.9864,2.17588,0,1.9039,32.185,3.89846,0.181324,1.81324,11.9674,1.35993,0.906618,0.453309,3.89846,1.35993
"Tolstoy","stylometry-data/Tolstoy/war-peace-b2-2.txt",20.6914,6.33943,15.646,13.6577,40.7255,46895,60.271,1.89281,0,8.96593,1.3947,0,1.99243,27.4955,4.28372,0.199243,2.09205,9.96214,0.996214,0.796972,0.398486,3.08826,0.996214
"Tolstoy","stylometry-data/Tolstoy/war-peace-b1-0.txt",19.7283,6.52345,17.3642,13.7596,42.8376,47856,63.8905,1.96889,0,4.72534,1.57511,0,2.55956,28.1551,4.23312,0.295334,2.16578,8.86001,1.67356,0.787557,0.295334,3.83934,2.55956
"Austen","stylometry-data/Austen/pride-prejudice-7.txt",18.3102,6.72898,19.7113,16.8847,59.6329,52573,58.9514,10.9572,0,6.42941,0.996106,0,2.6261,27.6193,4.07498,0.633886,2.17332,7.60663,1.62999,2.71665,1.44888,1.8111,3.53165
"Austen","stylometry-data/Austen/pride-prejudice-2.txt",18.5102,6.79221,23.397,18.8884,63.2752,53223,66.1142,10.1783,0,1.7114,0.360295,0,5.40443,28.2832,6.03495,0.900739,1.53126,8.73716,1.62133,0.900739,1.08089,1.62133,5.49451
"Austen","stylometry-data/Austen/pride-prejudice-10.txt",16.255,6.55991,17.9849,13.5202,57.7697,51690,65.1616,11.0668,0,5.66622,0.796813,0,2.21337,22.9305,3.62992,0.619743,2.0363,9.91589,2.3019,2.74458,1.23949,2.65604,2.92165
"Austen","stylometry-data/Austen/pride-prejudice-1.txt",17.6366,6.51852,17.5232,12.9191,37.9224,46328,66.6073,9.60016,0,3.66192,0.989707,0,2.67221,22.4663,4.65162,1.38559,3.16706,8.70942,1.88044,2.17736,0.791766,3.26603,4.0578
"Austen","stylometry-data/Austen/pride-prejudice-11.txt",16.469,6.5662,16.3578,11.8977,41.555,47631,67.3298,10.8072,0,5.06886,1.14767,0,1.43458,20.5624,4.78194,0.86075,1.91278,9.65953,2.29533,2.58225,0.669472,2.29533,2.48661
"Austen","stylometry-data/Austen/pride-prejudice-5.txt",17.7532,6.67922,22.1085,17.1406,62.4933,52736,62.9921,9.15583,0,1.73961,0.824025,0,2.1974,28.2915,4.48636,0.54935,1.55649,9.8883,2.1974,1.46493,1.19026,2.47207,3.93701
"Austen","stylometry-data/Austen/pride-prejudice-9.txt",16.207,6.65149,19.8696,16.2808,58.8773,52666,65.4427,11.3317,0,3.68939,0.878426,0,3.60155,19.5011,5.62193,0.790583,1.49332,12.6493,1.84469,2.37175,2.10822,3.25018,1.66901
"Austen","stylometry-data/Austen/pride-prejudice-0.txt",16.3887,6.50947,18.6928,14.796,41.8537,46968,60.8029,12.2188,0,4.36385,1.06672,0,3.3941,22.595,4.84872,0.678821,2.32739,9.01862,2.71528,2.23041,0.387898,2.13344,3.87898
"Austen","stylometry-data/Austen/pride-prejudice-8.txt",16.6333,6.81928,24.5434,16.4832,76.0846,56004,64.9124,14.1152,0,2.17827,0.522785,0,2.87532,27.3591,6.70907,1.21983,0.697046,10.63,3.04958,1.39409,2.00401,3.13671,3.04958
"Austen","stylometry-data/Austen/pride-prejudice-12.txt",16.6533,6.65241,17.866,15.1805,55.0523,52235,65.0102,10.5976,0,4.98709,0.890551,0,1.51394,19.5031,5.07614,0.623386,1.60299,10.8647,2.84976,2.49354,2.04827,1.95921,2.13732
"Austen","stylometry-data/Austen/pride-prejudice-3.txt",17.1289,6.78579,23.5851,19.3404,70.7554,54833,65.2117,8.86879,0,1.82593,1.13034,0,2.17372,24.0849,3.47796,1.73898,1.73898,11.7381,1.73898,2.08678,1.13034,2.52152,3.21711
"Austen","stylometry-data/Austen/pride-prejudice-4.txt",16.9426,6.8772,21.9584,17.1435,64.2432,53280,57.1687,11.6689,0,1.99005,1.08548,0,1.2664,23.8806,3.52782,0.904568,1.89959,13.2972,2.98507,2.26142,2.08051,3.3469,3.61827
"Austen","stylometry-data/Austen/pride-prejudice-6.txt",17.7277,6.96037,23.8273,18.8044,81.4344,56400,62.0121,8.84649,0,2.16826,1.30095,0,4.33651,22.9835,5.03036,0.693842,1.64788,12.4024,1.9948,2.16826,1.73461,3.46921,2.77537
"Orwell","stylometry-data/Orwell/1984-0.txt",21.6279,6.6302,18.5283,13.7029,98.9151,58999,55.4028,0.416563,0,2.83263,2.33275,0,5.58194,21.328,3.08256,0.416563,1.16638,9.91419,1.08306,0.749813,1.08306,2.16613,1.333
"Orwell","stylometry-data/Orwell/1984-2.txt",21.1788,6.47151,16.1192,10.4667,89.7586,57687,54.2283,0.991981,0,2.72795,2.72795,0,6.77854,18.1037,3.63727,0,2.56262,12.7304,1.23998,1.23998,1.57064,1.73597,1.40531
"Orwell","stylometry-data/Orwell/1984-7.txt",19.8281,6.38213,13.5964,10.3217,62.0064,53391,55.3363,3.24476,0,3.68324,0.876962,0,2.45549,19.8193,2.71858,0,0.964658,10.2605,1.49084,0.70157,1.40314,1.49084,0.876962
"Orwell","stylometry-data/Orwell/1984-8.txt",18.3244,6.41158,10.1917,7.33338,43.0922,48587,47.2434,1.221,0,3.09946,2.53593,0,4.69616,15.0277,1.97239,0.28177,2.16023,15.1216,0.939232,1.50277,0.375693,2.06631,0.375693
"Orwell","stylometry-data/Orwell/1984-3.txt",19.9083,6.39835,14.5466,10.2825,66.9732,54167,49.2087,1.47021,0,1.55669,0.95131,0,3.0269,16.5182,3.80524,0.0864827,1.55669,12.1941,1.55669,0.864827,1.90262,1.47021,1.47021
"Orwell","stylometry-data/Orwell/1984-9.txt",20.2623,6.72028,15.609,10.4342,87.7075,73149,57.8828,2.14133,0,2.20824,2.60974,0,4.55032,18.469,4.14882,0.200749,0.936831,10.8405,2.07441,1.07066,0.936831,2.07441,0.936831
"Orwell","stylometry-data/Orwell/1984-5.txt",20.4541,6.59425,14.4873,11.4266,62.3419,53680,51.8255,0.979519,0,1.06857,1.6919,0,3.38379,16.5628,2.67142,0.267142,1.15761,14.3366,1.78094,0.445236,0.979519,1.78094,1.06857
"Orwell","stylometry-data/Orwell/1984-1.txt",21.9759,6.71164,17.1664,12.6949,87.1466,58228,58.3588,0.594631,0,2.03874,2.37853,0,5.52158,18.6035,3.228,0.254842,1.4441,11.4679,1.4441,0.254842,0.934421,2.12368,1.10432
"Orwell","stylometry-data/Orwell/1984-6.txt",20.9577,7.19421,23.7277,13.5704,206.519,65601,61.7717,1.99521,0,0,1.51636,0,1.9154,25.8579,4.46927,0.638468,1.35674,11.652,3.35196,1.11732,0.718276,2.55387,0.558659
"Orwell","stylometry-data/Orwell/1984-4.txt",21.2043,6.48422,15.1006,11.025,69.8403,55498,49.065,1.20089,0,2.48756,1.62978,0,2.57334,19.4716,3.77423,0,1.28667,11.2369,1.37245,0.600446,0.171556,2.57334,1.11511
"Dickens","stylometry-data/Dickens/tale-two-cities-4.txt",20.7569,6.49696,19.0923,15.9766,41.3512,47719,81.0286,8.34546,0,4.56089,0.582242,0,4.65793,29.2091,3.29937,0.291121,1.55264,10.1892,1.16448,0.291121,0.776322,1.55264,1.35856
"Dickens","stylometry-data/Dickens/tale-two-cities-9.txt",21.8513,6.39357,19.765,19.5756,49.7989,49876,82.2082,7.1204,0,7.95265,2.12687,0,4.62364,36.3418,2.68171,0.184945,2.12687,8.50749,1.0172,0.739782,1.20215,3.32902,0.277418
"Dickens","stylometry-data/Dickens/tale-two-cities-1.txt",19.5133,6.36451,18.0492,15.9016,43.604,48021,80.2059,6.64483,0,4.77305,1.77819,0,4.49228,32.0075,3.4628,0,1.96537,10.014,1.40384,0.280767,0.561535,2.24614,2.05896
"Dickens","stylometry-data/Dickens/tale-two-cities-0.txt",21.0491,6.42838,19.4009,21.6989,44.6667,47977,78.6389,5.86011,0,6.04915,1.51229,0,5.57656,28.7335,1.98488,0.094518,3.49716,9.92439,1.79584,0.47259,0.94518,2.83554,1.41777
"Dickens","stylometry-data/Dickens/tale-two-cities-12.txt",18.2609,6.38254,13.7973,13.6758,33.1885,44043,76.6184,6.08696,0,6.66667,1.44928,0,5.12077,21.9324,1.73913,0.289855,3.18841,10.9179,1.44928,0.676329,0.966184,2.80193,1.35266
"Dickens","stylometry-data/Dickens/tale-two-cities-2.txt",20.4227,6.51104,17.8147,18.6295,44.8564,48751,74.9648,5.44857,0,3.00611,1.87882,0,2.81822,28.7459,2.5364,0.187882,2.5364,11.5547,2.0667,0.375763,0.845467,3.75763,1.69093
"Dickens","stylometry-data/Dickens/tale-two-cities-3.txt",20.4539,6.4379,17.1328,16.122,33.062,44084,82.1368,6.0247,0,5.02058,1.80741,0,3.61482,28.6173,2.81153,0.401647,1.60659,9.84035,1.10453,0.502058,0.502058,2.81153,1.80741
"Dickens","stylometry-data/Dickens/tale-two-cities-5.txt",18.9113,6.35969,16.7047,14.9961,34.175,44234,77.7952,7.62314,0,5.17983,1.56372,0,6.05942,23.8468,2.44332,0,2.73651,10.8483,1.75919,0.39093,0.977326,2.83425,0.977326
"Dickens","stylometry-data/Dickens/tale-two-cities-11.txt",20.4165,6.45104,19.7746,18.1707,50.7697,50237,78.3896,8.14438,0,3.88709,1.75845,0,3.42434,32.5775,3.60944,0.185099,1.38825,10.5507,1.1106,0.647848,0.925497,2.31374,0.832948
"Dickens","stylometry-data/Dickens/tale-two-cities-8.txt",18.9573,6.42206,18.4958,15.1381,43.1569,47879,82.5202,6.22619,0,5.29691,0.650497,0,4.83226,28.5289,2.88077,0.185856,2.13735,12.1736,1.48685,0.557569,1.02221,1.85856,1.67271
"Dickens","stylometry-data/Dickens/tale-two-cities-13.txt",16.1471,6.47036,16.103,13.7431,40.0586,69674,78.3425,5.41596,0,5.47893,1.19655,0,3.9675,29.284,3.33774,0,1.76334,13.288,1.19655,0.818691,0.944644,4.15643,0.755715
"Dickens","stylometry-data/Dickens/tale-two-cities-7.txt",19.2119,6.28827,15.6641,14.8038,34.9612,44732,80.0823,9.11586,0,7.44952,1.27426,0,6.07724,26.6614,3.82278,0.19604,2.9406,11.5664,2.15644,0.09802,0.68614,2.4505,1.27426
"Dickens","stylometry-data/Dickens/tale-two-cities-10.txt",20.2524,6.5642,19.6555,17.1064,46,48773,77.0618,4.65028,0,5.59932,1.61336,0,3.32163,35.2093,2.75221,0.189807,1.23375,11.5782,1.89807,1.61336,0.569422,3.89105,1.23375
"Dickens","stylometry-data/Dickens/tale-two-cities-6.txt",20.0163,6.35254,17.7053,15.0206,45.9796,49120,77.7404,6.72055,0,7.35628,1.63473,0,4.81337,27.4271,2.36128,0.272455,1.27146,11.5339,1.63473,0.363273,0.908183,3.26946,1.08982
"Shakespeare","stylometry-data/Shakespeare/hamlet-2.txt",23.8419,5.72785,10.2184,16.5834,25.49,27523,78.0142,16.297,0,7.99759,11.3173,0,13.1281,17.5041,3.62155,0,2.11257,6.63951,2.71616,0.301796,0.301796,4.07424,1.65988
"Shakespeare","stylometry-data/Shakespeare/hamlet-5.txt",23.6209,5.52206,9.75758,14.1438,23.1053,25410,69.9166,14.9134,0,5.13149,13.4702,0,8.6594,14.272,4.00898,0,2.56575,11.8666,2.40539,1.44323,1.60359,6.25401,1.44323
"Shakespeare","stylometry-data/Shakespeare/romeo-juliet-3.txt",19.0683,5.60314,7.79981,10.9814,30.9313,44112,73.9345,10.8244,0,16.2366,0.386585,0.193293,0,15.85,1.93293,0,1.54634,6.86189,1.35305,1.35305,0.0966464,9.18141,0.386585
"Shakespeare","stylometry-data/Shakespeare/hamlet-4.txt",24.9707,5.43834,9.33676,13.8272,21.5498,24456,77.3222,14.3933,0,10.2092,12.7197,0,9.87448,19.0795,5.35565,0,1.17155,4.51883,1.841,2.51046,0.167364,5.85774,0.669456
"Shakespeare","stylometry-data/Shakespeare/hamlet-1.txt",23.8268,5.58189,10.1533,17.5463,23.6736,24423,87.7655,20.0889,0,9.05648,9.22114,0,14.3257,17.619,3.1286,0,0.98798,5.92788,1.97596,0.823316,1.15264,6.75119,1.15264
"Shakespeare","stylometry-data/Shakespeare/romeo-juliet-1.txt",21.7309,5.38083,7.52073,9.01328,23.5061,30996,71.1291,11.6295,0,15.6863,0.40568,0.135227,0,14.7397,4.19202,0,1.89317,11.2238,1.62272,1.08181,0.135227,4.19202,1.62272
"Shakespeare","stylometry-data/Shakespeare/romeo-juliet-2.txt",20.7365,5.46285,7.9639,9.09751,29.201,32807,79.6553,12.7971,0,14.6252,0.391747,0.261165,0,12.2747,4.04805,0,1.69757,9.01019,1.69757,1.04466,0.261165,3.39514,0.652912
"Shakespeare","stylometry-data/Shakespeare/romeo-juliet-0.txt",23.3896,5.42725,7.77628,10.7779,24.7639,31557,73.869,12.6941,0,12.154,0.675219,0.540176,0,14.9899,2.43079,0,1.48548,6.75219,2.56583,1.08035,0.270088,4.18636,0.405132
"Shakespeare","stylometry-data/Shakespeare/hamlet-3.txt",24.1436,5.50509,8.75803,13.555,20.3202,24572,74.9058,16.0629,0,8.52319,12.2931,0,8.03147,18.5216,4.4255,0,1.63908,6.06458,1.47517,1.80298,0.327815,5.57286,1.80298
"Shakespeare","stylometry-data/Shakespeare/hamlet-0.txt",24.3069,5.58927,10.1296,17.2764,24.0513,25081,80.6931,17.1617,0,8.25083,11.7162,0,8.91089,18.9769,2.80528,0,0.825083,6.27063,2.14521,1.81518,0.825083,6.43564,1.15512
"Shakespeare","stylometry-data/Shakespeare/hamlet-6.txt",25.5941,5.43825,9.01412,13.8118,18.7647,16932,72.7186,19.7243,0,5.46578,12.8327,0,12.5951,13.7833,3.80228,0,2.85171,4.51521,3.08935,0.712928,0.712928,7.60456,2.37643
"Twain","stylometry-data/Twain/huck-5.txt",18.2224,5.87375,21.0542,20.6135,63.9557,52702,62.3138,11.1718,0,8.19265,3.0619,0,0,52.2178,5.37901,0,1.82059,8.27541,1.32406,0.579278,0.41377,2.15161,0.331016
"Twain","stylometry-data/Twain/huck-11.txt",20.0241,5.26707,24.1006,28.6719,43.7957,20256,77.6035,10.6554,0,7.03659,4.02091,0,0,58.5042,4.02091,0,2.2115,9.24809,1.20627,0.804182,0.603136,2.01045,2.2115
"Twain","stylometry-data/Twain/huck-9.txt",14.6508,5.82378,18.6503,18.2286,41.267,45974,61.0964,14.412,0,1.85676,4.0672,0,0,41.6446,4.50928,0,3.35986,8.93015,1.41468,0.442087,0.353669,1.50309,0.530504
"Twain","stylometry-data/Twain/huck-4.txt",16.567,5.85306,21.2664,21.761,58.8246,51285,57.0788,14.0412,0,3.07411,2.24327,0,0,44.3669,4.90196,0,1.5786,8.30841,0.913925,0.0830841,0.498504,1.32935,0.747757
"Twain","stylometry-data/Twain/huck-2.txt",15.0355,5.54291,16.0086,14.7361,43.5164,46367,56.3504,10.5328,0,3.33538,3.07206,0,0,36.2503,5.61748,0,2.89652,6.14412,0.965505,0.438866,0.614412,2.01878,0.614412
"Twain","stylometry-data/Twain/huck-1.txt",14.2214,5.57389,17.8767,14.1274,67.8861,52314,51.987,9.16489,0,1.73817,1.58015,0,0,44.8764,6.00458,0,1.65916,6.71565,1.0271,0.474046,0.790077,1.26412,0.395038
"Twain","stylometry-data/Twain/huck-10.txt",15.5503,5.64096,21.13,24.2451,49.7047,48424,68.6713,13.5991,0,4.3078,2.87186,0,0,45.5275,6.92626,0,2.7874,6.75733,1.09807,0.5068,0.337866,1.18253,1.267
"Twain","stylometry-data/Twain/huck-7.txt",15.1047,5.8244,17.9791,17.1619,34.9309,43829,62.913,11.3541,0,6.60772,6.04933,0,0,43.4621,5.11866,0,3.72266,8.18986,1.20987,0.372266,0.2792,2.14053,1.1168
"Twain","stylometry-data/Twain/huck-3.txt",15.1875,5.6188,16.9743,15.62,42.9488,46045,62.2396,8.42273,0,1.95053,2.65981,0,0,34.5775,6.4722,0,2.03919,7.89077,1.95053,0.265981,0.531962,1.50723,0.531962
"Twain","stylometry-data/Twain/huck-0.txt",13.6673,5.66381,18.3107,15.1358,74.3793,53145,54.1533,9.76791,0,1.17215,1.71915,0,0,46.4953,7.26733,0,2.96945,9.76791,1.95358,0.93772,0.46886,1.56287,0.390717
"Twain","stylometry-data/Twain/huck-6.txt",15.3325,5.79012,19.1515,17.2148,44.3798,47388,60.3494,11.9451,0,2.85256,3.47656,0,0,48.0478,4.81369,0,2.40685,9.35996,1.33714,0.35657,0.802282,2.13942,0.623997
"Twain","stylometry-data/Twain/huck-8.txt",15.0542,5.85179,18.7282,20.4494,43.5472,46585,58.0298,14.5515,0,5.64424,4.49775,0,0.0881912,47.976,4.67413,0,2.64574,7.40806,1.94021,0.70553,0.176382,1.05829,0.70553
"genconf","stylometry-data/genconf/Choose Wisely.txt",37.1594,6.35778,22.5155,15.4554,68.25,12837,52.0231,1.65153,0,0.825764,0.825764,0,0,34.2692,5.36746,0,1.23865,12.7993,1.65153,1.23865,0.412882,3.71594,0.825764
"genconf","stylometry-data/genconf/The Reason for Our Hope.txt",35.5115,5.8552,22.4054,16.9912,48.7647,9199,49.2769,2.67809,0,0,4.82057,0,0,33.2084,3.74933,0,1.60686,10.1768,0,2.14247,0.535619,2.67809,1.07124
